age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary,Income_predicted
20,4,15,10,4,11,3,2,1,0,0,44,39,<=50K,<=50K
45,4,9,13,0,3,3,4,1,0,1408,40,39,<=50K,<=50K
30,0,15,10,2,0,3,4,1,0,0,40,39,<=50K,<=50K
22,7,15,10,2,7,0,2,1,0,0,15,39,<=50K,<=50K
48,4,1,7,4,6,4,4,1,0,0,40,33,<=50K,<=50K
21,4,15,10,4,6,3,4,1,0,0,40,39,<=50K,<=50K
19,4,11,9,1,0,5,4,0,0,0,25,39,<=50K,<=50K
31,4,15,10,2,11,0,4,1,0,0,38,27,>50K,<=50K
48,6,7,12,2,9,0,4,1,0,0,40,39,<=50K,>50K
31,4,6,5,2,6,0,4,1,0,0,43,39,<=50K,<=50K
53,6,9,13,2,9,0,4,1,0,0,40,39,<=50K,<=50K
24,4,9,13,2,12,0,4,1,0,0,50,39,<=50K,<=50K
49,4,11,9,5,0,4,4,0,0,0,40,39,<=50K,<=50K
25,4,11,9,4,5,1,4,1,0,0,35,39,<=50K,<=50K
57,0,9,13,2,9,0,2,1,0,0,40,39,>50K,<=50K
53,4,11,9,2,6,0,4,1,0,0,38,39,<=50K,<=50K
44,4,12,14,0,3,4,4,0,0,0,40,39,<=50K,<=50K
41,7,8,11,2,2,0,4,1,0,0,40,39,<=50K,<=50K
29,4,8,11,4,9,1,4,1,0,0,43,39,<=50K,<=50K
25,4,15,10,2,3,5,3,0,0,0,40,39,<=50K,<=50K
18,4,11,9,4,7,3,4,0,0,0,30,27,<=50K,<=50K
47,4,14,15,2,9,5,4,0,0,1902,60,15,>50K,>50K
50,0,9,13,0,3,1,4,1,0,0,55,39,>50K,>50K
47,5,11,9,0,3,1,4,1,0,0,60,39,<=50K,<=50K
43,4,15,10,2,12,0,4,1,0,0,40,39,>50K,<=50K
46,4,4,3,2,6,0,4,1,0,0,40,25,<=50K,<=50K
35,4,8,11,2,7,0,4,1,0,0,40,33,<=50K,<=50K
41,4,11,9,2,0,0,4,1,0,0,48,39,<=50K,<=50K
30,4,11,9,2,6,0,4,1,5013,0,40,39,<=50K,<=50K
30,4,9,13,2,11,0,4,1,2407,0,40,39,<=50K,<=50K
32,3,5,4,3,7,1,4,1,0,0,40,27,<=50K,<=50K
48,4,11,9,2,13,0,4,1,0,0,40,39,<=50K,<=50K
42,4,10,16,2,9,0,4,1,0,0,45,39,>50K,<=50K
29,4,15,10,0,12,1,4,1,0,0,58,39,<=50K,<=50K
36,4,11,9,2,2,0,4,1,0,0,40,39,<=50K,<=50K
28,4,15,10,0,0,1,4,0,0,0,40,39,<=50K,<=50K
53,4,11,9,2,0,5,4,0,0,0,40,39,>50K,<=50K
49,5,15,10,2,3,0,4,1,0,0,50,39,>50K,<=50K
25,3,15,10,4,7,3,4,1,0,0,40,39,<=50K,<=50K
19,4,15,10,4,9,3,4,1,0,0,32,39,<=50K,<=50K
31,4,9,13,5,11,3,2,0,0,0,40,39,<=50K,<=50K
29,6,9,13,2,11,0,4,1,0,0,70,39,>50K,<=50K
23,4,15,10,4,6,1,4,1,0,0,40,39,<=50K,<=50K
79,4,15,10,2,9,2,4,1,0,0,20,39,<=50K,<=50K
27,4,11,9,4,7,3,4,1,0,0,40,25,<=50K,<=50K
40,4,7,12,2,0,0,4,1,0,0,40,39,<=50K,>50K
67,3,0,6,2,7,0,4,1,0,0,2,39,<=50K,<=50K
18,4,1,7,4,7,3,4,0,0,0,22,39,<=50K,<=50K
31,1,5,4,2,4,0,4,1,0,0,40,39,<=50K,<=50K
18,4,11,9,4,11,1,4,1,0,0,30,39,<=50K,<=50K
52,4,9,13,2,7,0,4,1,0,0,40,4,<=50K,<=50K
46,4,11,9,2,7,5,4,0,0,0,40,39,<=50K,<=50K
59,4,11,9,2,11,0,4,1,0,0,48,39,<=50K,<=50K
44,4,11,9,0,2,1,4,0,14344,0,40,39,>50K,<=50K
53,4,11,9,0,11,3,4,0,0,0,35,39,<=50K,<=50K
49,1,11,9,2,10,0,4,1,0,0,40,39,>50K,>50K
33,4,12,14,2,9,0,4,1,0,0,50,39,<=50K,<=50K
30,4,6,5,4,11,1,4,1,0,0,40,39,<=50K,<=50K
43,0,10,16,4,9,1,4,0,0,0,50,39,>50K,<=50K
57,4,8,11,2,9,0,4,1,0,0,40,39,<=50K,<=50K
37,4,15,10,0,2,4,4,0,0,0,40,39,<=50K,<=50K
28,4,15,10,0,6,4,2,0,0,0,25,39,<=50K,<=50K
30,4,11,9,2,11,5,1,0,0,1573,35,27,<=50K,>50K
34,1,9,13,2,10,0,4,1,0,0,40,39,>50K,>50K
29,1,15,10,4,5,1,4,1,0,0,50,39,<=50K,<=50K
48,6,10,16,2,9,0,4,1,0,1902,60,39,>50K,<=50K
37,4,15,10,2,11,0,4,1,0,0,48,39,>50K,<=50K
48,4,7,12,0,3,4,4,0,0,0,40,8,<=50K,>50K
32,0,11,9,4,7,3,2,1,0,0,40,39,<=50K,<=50K
76,4,12,14,2,3,0,4,1,0,0,40,39,>50K,<=50K
44,4,9,13,2,3,0,4,1,15024,0,60,39,>50K,<=50K
47,6,12,14,4,9,1,4,0,0,0,50,39,<=50K,<=50K
20,4,15,10,4,12,3,4,0,0,0,40,39,<=50K,<=50K
29,4,11,9,4,2,1,4,1,0,0,40,39,<=50K,<=50K
32,5,11,9,2,2,0,4,1,7688,0,40,39,>50K,<=50K
17,3,0,6,4,7,3,4,0,34095,0,32,39,<=50K,<=50K
30,4,1,7,4,5,3,4,1,0,0,40,39,<=50K,<=50K
31,1,11,9,4,0,1,4,0,0,0,40,39,<=50K,<=50K
42,4,11,9,2,5,0,4,1,0,0,40,39,<=50K,<=50K
24,4,9,13,4,11,2,4,1,0,0,40,39,<=50K,<=50K
38,4,14,15,2,9,0,4,1,0,0,40,39,>50K,>50K
56,6,11,9,2,7,0,4,1,0,1887,50,1,>50K,<=50K
28,4,15,10,2,11,5,4,0,4064,0,25,39,<=50K,>50K
36,4,11,9,4,6,3,4,0,0,0,40,39,<=50K,<=50K
53,4,6,5,2,5,0,4,1,0,0,50,39,<=50K,<=50K
56,5,15,10,2,11,0,4,1,0,0,50,39,<=50K,<=50K
49,1,8,11,2,2,0,2,1,0,0,40,39,>50K,>50K
55,4,15,10,2,11,0,4,1,0,0,56,39,<=50K,<=50K
22,4,11,9,4,2,1,4,1,0,0,41,39,<=50K,>50K
21,4,15,10,4,7,3,4,0,0,0,40,39,<=50K,>50K
40,4,9,13,2,3,0,4,1,0,0,60,39,<=50K,<=50K
30,4,9,13,4,3,3,2,1,0,0,40,10,<=50K,<=50K
29,7,9,13,2,9,0,4,1,0,0,50,39,>50K,<=50K
19,4,15,10,4,7,3,2,1,0,0,35,39,<=50K,>50K
47,4,9,13,2,3,5,4,0,0,0,40,39,>50K,<=50K
20,4,15,10,4,0,3,4,0,0,1719,28,39,<=50K,<=50K
31,4,7,12,2,0,0,4,1,0,0,40,39,>50K,<=50K
35,3,11,9,2,7,0,4,1,0,0,40,39,<=50K,>50K
39,4,15,10,0,2,1,4,1,0,0,40,39,<=50K,>50K
28,4,7,12,4,11,1,4,0,0,0,60,39,<=50K,<=50K
24,4,11,9,4,7,1,4,0,0,1762,40,39,<=50K,<=50K
38,6,11,9,2,2,0,4,1,4386,0,35,39,<=50K,<=50K
37,4,9,13,2,11,0,4,1,0,0,50,39,<=50K,<=50K
46,4,7,12,0,12,1,2,0,0,0,36,39,<=50K,<=50K
38,0,12,14,2,9,0,4,1,0,0,40,19,>50K,<=50K
43,6,11,9,2,2,0,4,1,0,0,60,39,<=50K,<=50K
27,4,8,11,2,0,5,4,0,0,0,35,39,<=50K,<=50K
20,4,15,10,4,11,3,4,1,0,0,20,39,<=50K,>50K
49,4,15,10,2,2,0,1,1,0,0,40,39,>50K,<=50K
61,5,11,9,2,2,0,4,1,0,0,40,39,<=50K,>50K
27,4,15,10,4,11,3,4,0,0,0,40,39,<=50K,<=50K
19,4,15,10,4,7,3,4,1,0,0,30,25,<=50K,>50K
45,4,8,11,4,9,1,4,0,0,1564,40,39,>50K,>50K
70,4,15,10,4,12,2,4,1,0,0,40,39,<=50K,<=50K
31,4,11,9,4,13,4,2,0,0,0,30,39,<=50K,<=50K
22,4,15,10,2,7,0,4,1,0,0,24,39,<=50K,<=50K
36,4,11,9,6,7,4,4,0,0,0,24,39,<=50K,<=50K
64,4,1,7,2,2,0,4,1,0,2179,40,39,<=50K,>50K
43,3,15,10,0,7,1,4,0,0,0,40,39,<=50K,<=50K
47,1,15,10,0,0,4,4,0,0,0,38,25,<=50K,<=50K
34,4,11,9,4,0,1,4,0,0,0,40,39,<=50K,<=50K
33,4,9,13,4,3,2,1,0,0,0,40,30,<=50K,<=50K
21,4,11,9,4,2,3,4,1,0,0,35,39,<=50K,<=50K
52,3,11,9,0,7,1,4,1,0,0,45,39,>50K,<=50K
48,4,11,9,2,2,0,4,1,0,0,46,39,<=50K,>50K
23,4,9,13,4,5,1,4,1,0,0,40,39,<=50K,<=50K
71,6,15,10,5,11,4,2,1,0,1816,2,39,<=50K,<=50K
29,4,11,9,0,2,1,4,1,0,0,60,39,<=50K,<=50K
42,4,9,13,5,7,2,2,1,0,0,50,39,<=50K,<=50K
68,3,3,2,0,7,1,4,0,0,0,20,39,<=50K,<=50K
25,4,11,9,4,7,4,4,0,0,0,40,39,<=50K,<=50K
44,5,12,14,0,3,4,1,0,0,0,40,39,<=50K,<=50K
28,4,11,9,4,3,1,1,0,0,0,40,8,<=50K,<=50K
45,6,12,14,2,11,0,4,1,0,0,40,39,>50K,<=50K
36,4,15,10,0,7,4,4,0,0,0,40,25,<=50K,<=50K
39,0,7,12,4,3,1,4,1,0,0,42,39,<=50K,<=50K
46,7,12,14,6,10,4,4,1,0,0,40,39,<=50K,<=50K
18,4,1,7,4,5,3,4,1,0,0,16,39,<=50K,>50K
66,1,8,11,6,9,1,4,0,0,0,20,39,<=50K,<=50K
27,4,11,9,4,7,1,4,1,0,1980,40,39,<=50K,>50K
28,7,11,9,2,10,0,4,1,0,0,40,39,<=50K,<=50K
51,4,15,10,2,11,0,4,1,0,1977,40,39,>50K,<=50K
27,4,9,13,4,2,1,4,1,0,0,50,39,<=50K,<=50K
28,7,9,13,2,9,0,4,1,0,0,40,39,>50K,>50K
27,4,11,9,3,11,4,4,0,0,0,25,39,<=50K,<=50K
21,4,11,9,4,2,3,2,1,0,0,40,39,<=50K,<=50K
34,4,11,9,4,5,1,2,1,0,0,40,39,<=50K,<=50K
18,4,11,9,4,7,3,4,1,0,0,12,39,<=50K,<=50K
33,4,9,13,2,9,0,4,1,0,0,65,39,<=50K,<=50K
44,1,15,10,2,3,0,2,1,0,0,38,39,>50K,>50K
43,4,15,10,0,0,1,4,0,0,0,40,39,<=50K,>50K
30,4,15,10,4,2,1,2,1,0,0,45,39,<=50K,<=50K
40,4,5,4,2,6,0,4,1,0,0,40,25,>50K,<=50K
37,0,15,10,2,0,0,4,1,0,0,42,39,>50K,<=50K
34,4,11,9,2,0,0,2,1,0,0,40,39,<=50K,<=50K
41,6,9,13,0,3,1,4,0,0,0,40,39,<=50K,>50K
53,3,9,13,0,7,1,4,0,0,0,50,39,<=50K,<=50K
31,4,12,14,2,9,5,4,0,0,0,50,39,<=50K,<=50K
58,7,10,16,2,9,0,4,1,0,0,1,39,>50K,<=50K
38,4,15,10,0,6,1,2,0,0,0,28,39,<=50K,<=50K
24,4,15,10,2,6,0,4,1,0,0,40,39,<=50K,<=50K
41,1,9,13,2,2,0,2,1,0,0,40,39,<=50K,<=50K
47,4,15,10,2,12,0,4,1,0,0,45,39,<=50K,<=50K
41,0,9,13,2,12,0,4,1,0,0,24,39,<=50K,<=50K
23,4,4,3,2,13,2,4,1,0,0,40,25,<=50K,<=50K
36,4,15,10,0,2,1,4,1,0,0,40,39,<=50K,<=50K
40,0,12,14,4,3,1,4,0,14084,0,55,39,>50K,<=50K
35,4,12,14,2,9,2,4,1,7298,0,40,39,>50K,<=50K
24,6,11,9,4,11,1,4,1,0,0,40,39,<=50K,<=50K
26,4,12,14,4,9,1,4,0,0,1876,40,39,<=50K,<=50K
19,3,11,9,4,7,3,4,1,0,0,40,21,<=50K,<=50K
51,4,9,13,2,3,0,4,1,0,0,50,39,>50K,<=50K
42,1,15,10,4,9,1,4,0,0,1340,40,39,<=50K,<=50K
37,7,11,9,0,0,4,4,0,0,0,35,39,<=50K,<=50K
18,4,1,7,4,11,3,4,0,0,0,40,39,<=50K,<=50K
36,4,9,13,2,7,0,2,1,7298,0,36,39,>50K,<=50K
35,4,11,9,0,2,1,4,1,0,0,60,39,<=50K,<=50K
58,5,11,9,2,11,5,4,0,15024,0,35,39,>50K,>50K
17,4,1,7,4,11,3,4,0,0,0,12,39,<=50K,>50K
44,1,11,9,2,13,0,2,1,0,0,40,39,<=50K,<=50K
37,4,11,9,2,2,0,4,1,0,0,40,39,>50K,<=50K
35,4,15,10,4,11,1,0,0,0,0,40,39,<=50K,<=50K
60,4,11,9,2,2,0,1,1,0,0,40,39,<=50K,<=50K
54,5,5,4,2,6,0,4,1,0,0,40,39,>50K,<=50K
37,4,9,13,4,3,1,2,1,0,0,60,39,>50K,<=50K
50,4,7,12,0,11,1,4,0,0,0,40,39,<=50K,<=50K
38,4,9,13,2,11,0,4,1,0,0,50,31,<=50K,<=50K
45,4,9,13,2,9,0,4,1,0,0,55,39,<=50K,<=50K
25,4,0,6,4,2,1,4,1,0,0,40,39,<=50K,>50K
31,4,15,10,2,5,0,4,1,0,0,40,39,<=50K,<=50K
64,3,3,2,0,7,1,4,1,0,0,40,39,<=50K,>50K
90,4,11,9,4,7,1,2,1,0,2206,40,39,<=50K,<=50K
54,4,11,9,2,0,0,2,1,0,0,20,39,<=50K,<=50K
53,1,13,1,4,6,1,4,0,0,0,35,39,<=50K,<=50K
18,4,11,9,4,11,3,4,0,0,0,40,39,<=50K,<=50K
60,3,0,6,0,7,1,0,0,0,0,10,39,<=50K,<=50K
66,6,11,9,2,4,0,4,1,1409,0,50,39,<=50K,>50K
75,4,8,11,6,0,1,4,0,0,0,20,3,<=50K,<=50K
65,4,11,9,0,0,1,4,0,0,0,40,39,<=50K,<=50K
35,4,1,7,5,13,1,2,1,3674,0,40,39,<=50K,<=50K
41,4,11,9,0,11,4,2,0,0,0,38,39,<=50K,>50K
25,4,15,10,4,0,1,4,1,0,0,42,39,<=50K,<=50K
33,4,15,10,0,2,2,3,0,0,0,40,39,<=50K,<=50K
28,4,14,15,4,9,1,4,1,0,0,55,39,>50K,<=50K
59,7,11,9,2,7,0,4,1,0,0,40,39,<=50K,<=50K
40,7,15,10,4,0,1,4,0,0,0,38,39,<=50K,<=50K
41,4,9,13,2,3,0,4,1,0,0,50,19,>50K,<=50K
38,1,12,14,2,3,0,4,1,0,0,70,39,>50K,<=50K
23,4,11,9,4,13,3,4,1,0,0,40,39,<=50K,<=50K
40,4,9,13,2,9,0,4,1,0,0,40,39,>50K,>50K
41,6,11,9,2,7,5,4,0,0,0,20,39,<=50K,<=50K
24,7,7,12,2,10,0,4,1,0,0,50,39,<=50K,<=50K
20,3,15,10,4,7,3,4,1,0,0,20,39,<=50K,>50K
38,4,15,10,0,2,1,4,1,0,1741,40,39,<=50K,<=50K
56,4,11,9,2,0,0,4,1,0,0,35,27,<=50K,>50K
58,4,11,9,2,0,0,4,1,0,0,45,39,>50K,<=50K
32,4,11,9,4,7,1,4,0,0,0,34,39,<=50K,>50K
40,4,7,12,2,12,0,4,1,0,1977,60,39,>50K,<=50K
45,4,11,9,2,0,0,4,1,0,0,40,27,<=50K,<=50K
41,4,14,15,2,9,5,4,0,0,0,40,39,>50K,>50K
42,4,9,13,2,0,5,2,0,0,0,40,39,<=50K,<=50K
59,1,0,6,6,7,4,2,0,0,0,30,39,<=50K,<=50K
19,1,15,10,4,0,3,4,1,0,0,40,39,<=50K,<=50K
58,4,15,10,4,13,1,4,1,0,0,20,39,<=50K,<=50K
42,6,11,9,2,4,0,1,1,0,0,40,0,>50K,<=50K
20,4,11,9,4,7,3,4,0,0,0,40,39,<=50K,<=50K
32,4,11,9,5,7,1,4,0,0,0,30,39,<=50K,<=50K
45,4,8,11,6,3,1,4,0,0,0,45,39,<=50K,<=50K
50,4,5,4,0,2,1,4,1,0,0,40,39,<=50K,<=50K
36,4,9,13,0,9,3,4,0,0,0,40,39,<=50K,<=50K
45,4,11,9,2,11,0,4,1,0,0,60,39,<=50K,<=50K
17,4,1,7,4,7,3,4,1,0,0,12,39,<=50K,<=50K
59,4,15,10,2,11,0,4,1,4064,0,40,39,<=50K,<=50K
26,4,1,7,2,2,0,4,1,0,0,40,39,<=50K,<=50K
37,5,15,10,2,3,0,1,1,0,0,75,37,>50K,<=50K
19,3,15,10,4,7,3,4,1,0,0,24,1,<=50K,<=50K
64,4,11,9,2,3,0,4,1,0,0,40,39,>50K,<=50K
33,4,9,13,4,9,1,4,0,0,0,45,39,<=50K,<=50K
33,4,11,9,2,2,5,4,0,0,0,40,39,>50K,<=50K
61,4,11,9,2,3,0,4,1,0,0,40,39,>50K,>50K
17,4,6,5,4,7,3,4,1,1055,0,24,39,<=50K,<=50K
50,6,12,14,2,4,0,4,1,2407,0,98,39,<=50K,<=50K
27,1,12,14,4,9,3,4,1,0,0,35,39,<=50K,<=50K
30,4,11,9,0,9,3,4,0,0,0,40,39,<=50K,<=50K
43,4,11,9,2,5,0,2,1,0,0,40,39,<=50K,>50K
44,4,15,10,2,2,0,4,1,7298,0,40,39,>50K,>50K
35,4,15,10,4,3,1,4,0,0,0,40,39,<=50K,<=50K
25,4,15,10,4,12,3,4,0,0,0,40,39,<=50K,<=50K
24,4,15,10,2,6,5,4,0,7298,0,48,39,>50K,>50K
22,4,9,13,4,9,1,4,0,0,0,15,10,<=50K,<=50K
42,1,15,10,2,2,0,4,1,5178,0,40,39,>50K,<=50K
34,4,7,12,0,11,4,2,0,0,0,45,39,<=50K,<=50K
60,4,9,13,0,9,1,4,0,0,0,42,39,<=50K,<=50K
21,4,11,9,4,5,3,4,1,0,0,40,39,<=50K,>50K
57,0,12,14,2,11,0,4,1,15024,0,40,39,>50K,<=50K
41,4,14,15,2,9,0,4,1,0,0,60,39,>50K,<=50K
50,4,15,10,0,7,1,4,1,0,0,45,39,<=50K,>50K
25,4,9,13,4,3,1,4,0,0,0,40,39,<=50K,<=50K
50,4,5,4,2,2,0,4,1,0,0,40,6,<=50K,<=50K
36,4,9,13,2,9,0,4,1,0,0,45,39,<=50K,<=50K
31,4,11,9,0,9,1,4,0,0,0,40,39,<=50K,<=50K
29,1,9,13,4,10,1,4,1,0,0,56,39,<=50K,<=50K
21,4,15,10,4,11,3,4,1,0,0,45,39,<=50K,<=50K
27,4,9,13,4,12,4,2,0,0,0,40,39,<=50K,<=50K
65,4,11,9,2,13,0,4,1,0,0,16,39,<=50K,>50K
37,5,9,13,0,11,1,4,0,0,0,60,39,<=50K,<=50K
39,3,12,14,2,7,5,1,0,3464,0,40,27,<=50K,<=50K
24,4,11,9,4,2,3,4,1,0,0,40,39,<=50K,<=50K
38,4,11,9,0,11,1,4,1,0,0,80,39,<=50K,>50K
48,4,9,13,2,0,0,4,1,7688,0,40,39,>50K,<=50K
21,4,15,10,4,7,1,1,0,0,0,25,39,<=50K,<=50K
31,4,11,9,2,13,0,4,1,0,0,45,39,>50K,<=50K
55,4,11,9,2,11,0,4,1,4386,0,40,39,>50K,>50K
24,4,15,10,2,0,5,1,0,0,0,40,24,<=50K,>50K
43,4,11,9,0,0,1,4,0,0,0,40,39,<=50K,<=50K
26,4,7,12,4,12,1,4,1,0,0,45,39,<=50K,<=50K
46,4,7,12,4,9,1,4,0,0,0,33,39,<=50K,<=50K
35,4,7,12,2,0,0,4,1,0,0,40,39,>50K,<=50K
41,5,15,10,2,4,0,4,1,0,0,54,39,>50K,<=50K
26,4,9,13,4,11,1,4,1,0,0,40,39,<=50K,<=50K
34,4,12,14,2,3,0,1,1,7298,0,35,36,>50K,>50K
19,3,15,10,4,7,3,2,0,0,0,25,39,<=50K,>50K
36,6,9,13,0,9,1,2,0,0,0,40,39,>50K,<=50K
22,4,15,10,4,11,3,4,1,0,0,15,39,<=50K,>50K
24,4,15,10,4,6,1,4,1,0,0,40,39,<=50K,<=50K
77,6,15,10,2,11,0,4,1,0,0,40,39,<=50K,<=50K
22,4,4,3,2,6,2,4,0,0,0,40,25,<=50K,<=50K
29,4,15,10,4,12,1,4,0,0,0,40,39,<=50K,>50K
62,4,11,9,6,7,1,4,0,0,0,24,39,<=50K,<=50K
39,6,11,9,2,3,0,4,1,0,0,40,39,<=50K,<=50K
43,4,15,10,2,2,0,4,1,0,1485,50,39,<=50K,<=50K
35,4,11,9,0,13,1,4,1,0,0,45,39,<=50K,>50K
29,4,1,7,4,3,1,4,0,0,0,40,39,<=50K,<=50K
76,6,12,14,2,2,0,4,1,0,0,10,39,<=50K,>50K
63,6,11,9,2,4,0,4,1,0,0,45,39,<=50K,<=50K
23,3,8,11,4,7,3,2,0,0,0,15,39,<=50K,<=50K
43,4,15,10,2,9,5,4,0,0,1887,50,39,>50K,>50K
58,6,11,9,2,5,0,4,1,0,0,40,39,<=50K,<=50K
66,4,11,9,4,13,1,4,1,2050,0,55,39,<=50K,>50K
41,4,15,10,4,2,1,2,1,0,0,45,39,<=50K,<=50K
26,4,9,13,4,0,1,4,1,0,0,40,39,<=50K,<=50K
47,4,8,11,4,7,1,4,1,0,0,40,39,<=50K,<=50K
55,1,0,6,2,0,0,4,1,0,0,40,39,<=50K,<=50K
53,4,11,9,2,13,0,4,1,0,0,40,39,<=50K,<=50K
17,4,4,3,4,7,2,4,1,0,0,48,25,<=50K,<=50K
30,4,11,9,4,2,2,4,1,0,0,40,39,<=50K,>50K
49,4,12,14,4,9,1,4,1,0,0,60,39,<=50K,<=50K
19,4,11,9,4,11,4,2,1,0,0,30,13,<=50K,<=50K
45,4,11,9,2,7,0,2,1,0,0,40,39,<=50K,<=50K
26,4,7,12,4,11,1,4,1,0,0,40,39,<=50K,<=50K
38,4,8,11,2,2,0,4,1,7298,0,40,39,>50K,<=50K
36,7,11,9,2,10,0,4,1,7298,0,40,39,>50K,<=50K
33,4,11,9,4,4,1,4,1,0,0,20,39,<=50K,<=50K
22,7,15,10,4,10,3,2,0,0,0,40,39,<=50K,<=50K
43,6,9,13,4,11,1,4,1,0,0,42,39,<=50K,<=50K
67,3,1,7,2,7,0,4,1,0,0,8,39,<=50K,>50K
30,3,8,11,0,7,4,4,0,0,0,40,39,<=50K,<=50K
56,4,7,12,3,7,1,4,1,0,0,25,19,<=50K,<=50K
31,4,9,13,4,9,3,4,1,0,0,25,39,<=50K,<=50K
33,4,9,13,2,3,0,4,1,0,0,40,39,>50K,<=50K
26,4,11,9,2,7,0,4,1,0,0,40,39,<=50K,<=50K
46,1,1,7,2,13,0,4,1,0,0,30,39,<=50K,<=50K
59,3,9,13,2,7,0,4,1,0,0,40,39,>50K,<=50K
38,0,11,9,2,0,0,4,1,0,0,40,39,>50K,<=50K
65,4,1,7,6,7,4,3,1,0,0,40,39,<=50K,>50K
40,4,8,11,2,12,0,4,1,0,0,40,39,>50K,<=50K
42,4,11,9,2,0,5,4,0,0,0,35,39,<=50K,<=50K
26,6,6,5,2,2,0,4,1,0,0,40,32,<=50K,>50K
36,4,0,6,2,7,5,4,0,0,0,24,39,<=50K,<=50K
62,4,12,14,2,9,0,4,1,0,0,40,39,>50K,<=50K
43,4,9,13,2,13,0,4,1,0,0,45,39,<=50K,<=50K
43,4,9,13,0,3,1,4,1,0,1564,45,39,>50K,>50K
22,4,11,9,3,11,1,4,1,0,0,55,39,<=50K,<=50K
28,4,11,9,2,2,0,4,1,0,0,40,39,<=50K,<=50K
56,6,15,10,2,11,0,4,1,0,0,45,39,<=50K,<=50K
22,4,7,12,4,11,1,4,0,0,0,15,39,<=50K,<=50K
57,4,9,13,0,3,1,4,0,0,0,45,39,>50K,<=50K
39,4,11,9,0,11,4,4,0,0,0,40,39,<=50K,<=50K
26,0,15,10,4,0,4,4,0,0,0,15,39,<=50K,>50K
17,4,1,7,4,7,3,4,1,0,0,10,39,<=50K,<=50K
40,7,8,11,2,6,0,4,1,0,0,38,39,>50K,<=50K
45,4,11,9,2,6,0,2,1,0,0,40,39,<=50K,<=50K
44,4,11,9,4,2,1,2,1,0,0,40,39,<=50K,<=50K
20,1,15,10,4,0,3,4,0,0,0,10,39,<=50K,<=50K
33,4,11,9,2,2,5,4,0,0,0,40,39,<=50K,<=50K
23,4,15,10,4,11,1,4,1,0,0,40,39,<=50K,<=50K
46,6,12,14,0,3,1,4,1,0,0,30,39,<=50K,<=50K
38,4,11,9,2,11,0,4,1,0,0,50,39,<=50K,<=50K
54,4,11,9,0,13,1,4,1,0,0,40,39,<=50K,<=50K
46,4,4,3,0,2,1,4,0,0,2339,45,39,<=50K,<=50K
25,4,15,10,2,2,0,4,1,0,0,40,39,<=50K,<=50K
46,4,15,10,0,11,1,4,0,0,0,40,39,<=50K,<=50K
36,1,15,10,2,13,5,4,0,0,0,40,39,<=50K,<=50K
23,4,11,9,4,7,1,4,0,0,0,25,39,<=50K,<=50K
29,4,11,9,5,6,1,4,1,0,0,40,39,<=50K,<=50K
44,4,15,10,2,0,5,4,0,0,2415,6,39,>50K,<=50K
19,4,15,10,4,0,3,4,0,0,0,16,39,<=50K,<=50K
